entity_id,name,primary_direction,secondary_direction_1,secondary_direction_2,entity_type,official_url,official_docs,official_github,official_events,official_press_or_ir,status,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,next_action
btcinc,BTC Inc,education-media-events-research,payments-stablecoins-settlement,,company,https://b.tc/,https://b.tc/about,,https://2026.b.tc/,https://bitcoinmagazine.com/,watch,,,,,,,,,Track official conference and media signals
bitcoinmag,Bitcoin Magazine,education-media-events-research,protocols,,media,https://bitcoinmagazine.com/,https://bitcoinmagazine.com/about,,https://b.tc/,https://bitcoinmagazine.com/,watch,,,,,,,,,Track public education and editorial output
coindesk,CoinDesk,education-media-events-research,exchanges-brokerage-liquidity,company,https://www.coindesk.com/,https://www.coindesk.com/about,,https://consensus.coindesk.com/,https://consensus.coindesk.com/press/,watch,,,,,,,,,Track Consensus and official research/media output
consensus,Consensus,education-media-events-research,,event,https://consensus.coindesk.com/,https://consensus.coindesk.com/press,,https://consensus.coindesk.com/,https://consensus.coindesk.com/press/,watch,,,,,,,,,Track event and sponsor surface
circle,Circle,payments-stablecoins-settlement,exchanges-brokerage-liquidity,rwa-tokenization,company,https://www.circle.com/,https://developers.circle.com/,https://github.com/circlefin,https://www.circle.com/events,https://www.circle.com/pressroom,ranked,,,,,,,,,Refresh payments and stablecoin signals
ripple,Ripple,payments-stablecoins-settlement,protocols,enterprise-standards-interoperability,company,https://ripple.com/,https://docs.ripple.com/,https://github.com/ripple,https://ripple.com/events/,https://ripple.com/insights/,ranked,,,,,,,,,Refresh XRPL and payments ecosystem signals
block,Block,payments-stablecoins-settlement,wallets-custody-security,,company,https://block.xyz/,https://developer.squareup.com/,https://github.com/block,https://investors.block.xyz/events-and-presentations/default.aspx,https://investors.block.xyz/news-and-events/default.aspx,watch,,,,,,,,,Track payments and Bitcoin program updates
coinbase,Coinbase,exchanges-brokerage-liquidity,wallets-custody-security,payments-stablecoins-settlement,company,https://www.coinbase.com/,https://docs.cdp.coinbase.com/,https://github.com/coinbase,https://investor.coinbase.com/events-and-presentations/events/default.aspx,https://investor.coinbase.com/,ranked,,,,,,,,,Refresh exchange and developer platform signals
kraken,Kraken,exchanges-brokerage-liquidity,wallets-custody-security,,company,https://www.kraken.com/,https://docs.kraken.com/,https://github.com/krakenfx,,https://blog.kraken.com/,watch,,,,,,,,,Track official institutional and developer updates
binance,Binance,exchanges-brokerage-liquidity,wallets-custody-security,developer-tools,company,https://www.binance.com/,https://developers.binance.com/,https://github.com/binance,,https://www.binance.com/en/blog,watch,,,,,,,,,Track official exchange and developer signals
okx,OKX,exchanges-brokerage-liquidity,wallets-custody-security,developer-tools,company,https://www.okx.com/,https://www.okx.com/docs-v5/en/,https://github.com/okx,,https://www.okx.com/learn,watch,,,,,,,,,Track exchange and wallet signals
bitstamp,Bitstamp,exchanges-brokerage-liquidity,payments-stablecoins-settlement,,company,https://www.bitstamp.net/,,https://github.com/bitstamp,,https://blog.bitstamp.net/,watch,,,,,,,,,Track institutional and public exchange updates
robinhoodcrypto,Robinhood Crypto,exchanges-brokerage-liquidity,,company,https://robinhood.com/us/en/crypto/,https://robinhood.com/us/en/support/articles/cryptocurrency/,,https://robinhood.com/us/en/newsroom/,watch,,,,,,,,,Track brokerage crypto surface
bitmain,Bitmain,mining,developer-tools,,company,https://www.bitmain.com/,,https://github.com/bitmaintech,,https://www.bitmain.com/news.htm,watch,,,,,,,,,Track mining hardware and pool ecosystem signals
mara,MARA,mining,payments-stablecoins-settlement,,company,https://www.mara.com/,,https://github.com/marathondh,,https://ir.mara.com/news-events/press-releases/default.aspx,watch,,,,,,,,,Track public miner corporate and technical signals
riot,Riot,mining,,company,https://www.riotplatforms.com/,,https://github.com/riotblockchain,,https://investors.riotplatforms.com/news-events/press-releases,watch,,,,,,,,,Track miner operational updates
cleanspark,CleanSpark,mining,,company,https://www.cleanspark.com/,,https://github.com/cleanspark,,https://investors.cleanspark.com/news-events/press-releases,watch,,,,,,,,,Track miner and energy signals
foundry,Foundry,mining,data-infrastructure,,company,https://foundrydigital.com/,,https://github.com/foundry-rs,https://foundrydigital.com/events/,https://foundrydigital.com/insights/,watch,,,,,,,,,Track pool and infrastructure signals
luxor,Luxor,mining,data-infrastructure,,company,https://luxor.tech/,https://docs.luxor.tech/,https://github.com/luxor-tech,,https://luxor.tech/blog,watch,,,,,,,,,Track mining data and marketplace signals
ethereum,Ethereum Foundation,protocols,developer-tools,defi,foundation,https://ethereum.org/,https://ethereum.org/developers/,https://github.com/ethereum,https://devcon.org/,https://blog.ethereum.org/,ranked,,,,,,,,,Track protocol and ecosystem movement
solana,Solana Foundation,protocols,developer-tools,defi,foundation,https://solana.org/,https://solana.com/docs,https://github.com/solana-labs,https://solana.com/breakpoint,https://solana.com/news,ranked,,,,,,,,,Track protocol and developer ecosystem signals
avax,Avalanche,protocols,developer-tools,rwa-tokenization,foundation,https://www.avax.network/,https://build.avax.network/,https://github.com/ava-labs,,https://www.avax.network/blog,watch,,,,,,,,,Track protocol and institutional ecosystem signals
polkadot,Polkadot,protocols,developer-tools,enterprise-standards-interoperability,foundation,https://polkadot.com/,https://docs.polkadot.com/,https://github.com/paritytech,,https://polkadot.com/newsroom/,watch,,,,,,,,,Track protocol and interoperability signals
cosmos,Cosmos,protocols,developer-tools,enterprise-standards-interoperability,foundation,https://cosmos.network/,https://docs.cosmos.network/,https://github.com/cosmos,,https://cosmos.network/blog/,watch,,,,,,,,,Track IBC and ecosystem signals
cardano,Cardano,protocols,developer-tools,,foundation,https://cardano.org/,https://docs.cardano.org/,https://github.com/input-output-hk,,https://cardano.org/news/,watch,,,,,,,,,Track protocol and education signals
hedera,Hedera,enterprise-standards-interoperability,protocols,payments-stablecoins-settlement,foundation,https://hedera.com/,https://docs.hedera.com/,https://github.com/hashgraph,https://hedera.com/events/,https://hedera.com/blog,ranked,,,,,,,,,Track enterprise and ecosystem signals
hyperledger,Hyperledger,enterprise-standards-interoperability,developer-tools,,foundation,https://www.hyperledger.org/,https://www.hyperledger.org/use,https://github.com/hyperledger,https://events.linuxfoundation.org/,https://www.hyperledger.org/blog,ranked,,,,,,,,,Track enterprise and open-source foundation signals
lfdt,LF Decentralized Trust,enterprise-standards-interoperability,education-media-events-research,,foundation,https://www.lfdecentralizedtrust.org/,,https://github.com/lfdecentralizedtrust,https://events.linuxfoundation.org/,https://www.lfdecentralizedtrust.org/blog,watch,,,,,,,,,Track foundation and standards signals
hardhat,Hardhat,developer-tools,protocols,,project,https://hardhat.org/,https://hardhat.org/docs,https://github.com/NomicFoundation/hardhat,,https://hardhat.org/blog,ranked,,,,,,,,,Track developer tooling releases
foundryrs,Foundry,developer-tools,protocols,,project,https://getfoundry.sh/,https://book.getfoundry.sh/,https://github.com/foundry-rs/foundry,,https://github.com/foundry-rs/foundry/releases,ranked,,,,,,,,,Track smart contract developer tooling
openzeppelin,OpenZeppelin,developer-tools,wallets-custody-security,defi,company,https://openzeppelin.com/,https://docs.openzeppelin.com/,https://github.com/OpenZeppelin,https://openzeppelin.com/events,https://blog.openzeppelin.com/,ranked,,,,,,,,,Track contract security and library updates
alchemy,Alchemy,data-infrastructure,developer-tools,,company,https://www.alchemy.com/,https://www.alchemy.com/docs,https://github.com/alchemyplatform,https://www.alchemy.com/events,https://www.alchemy.com/blog,ranked,,,,,,,,,Track RPC and developer platform movement
quicknode,QuickNode,data-infrastructure,developer-tools,,company,https://www.quicknode.com/,https://www.quicknode.com/docs,https://github.com/quiknode-labs,https://www.quicknode.com/events,https://blog.quicknode.com/,watch,,,,,,,,,Track RPC and builder tooling
thegraph,The Graph,data-infrastructure,developer-tools,defi,project,https://thegraph.com/,https://thegraph.com/docs/en/,https://github.com/graphprotocol,https://thegraph.com/events,https://thegraph.com/blog/,ranked,,,,,,,,,Track indexing and subgraph ecosystem
etherscan,Etherscan,data-infrastructure,protocols,,company,https://etherscan.io/,https://docs.etherscan.io/,https://github.com/etherscan,,https://etherscan.io/apis,watch,,,,,,,,,Track explorer and API surface
blockchair,Blockchair,data-infrastructure,compliance-risk-forensics,,company,https://blockchair.com/,https://blockchair.com/api/docs,,https://blockchair.com/,https://blockchair.com/news,watch,,,,,,,,,Track explorer and analytics surface
ledger,Ledger,wallets-custody-security,developer-tools,,company,https://www.ledger.com/,https://developers.ledger.com/,https://github.com/LedgerHQ,https://www.ledger.com/academy,https://www.ledger.com/blog,ranked,,,,,,,,,Track wallet and custody developer surface
trezor,Trezor,wallets-custody-security,developer-tools,,company,https://trezor.io/,https://docs.trezor.io/,https://github.com/trezor,https://trezor.io/learn,https://trezor.io/blog,watch,,,,,,,,,Track wallet and education surface
fireblocks,Fireblocks,wallets-custody-security,compliance-risk-forensics,payments-stablecoins-settlement,company,https://www.fireblocks.com/,https://developers.fireblocks.com/,https://github.com/fireblocks,https://www.fireblocks.com/events/,https://www.fireblocks.com/blog/,ranked,,,,,,,,,Track institutional custody and payments signals
bitgo,BitGo,wallets-custody-security,compliance-risk-forensics,,company,https://www.bitgo.com/,https://developers.bitgo.com/,https://github.com/BitGo,https://www.bitgo.com/events/,https://www.bitgo.com/resources/,watch,,,,,,,,,Track custody and institutional trust signals
safe,Safe,wallets-custody-security,dao-governance-treasury,developer-tools,project,https://safe.global/,https://docs.safe.global/,https://github.com/safe-global,https://safe.global/events,https://safe.global/blog,ranked,,,,,,,,,Track smart account and treasury tooling
uniswap,Uniswap,defi,developer-tools,data-infrastructure,project,https://uniswap.org/,https://docs.uniswap.org/,https://github.com/Uniswap,https://uniswap.org/blog/events,,ranked,,,,,,,,,Track DEX and protocol ecosystem signals
aave,Aave,defi,dao-governance-treasury,,project,https://aave.com/,https://docs.aave.com/,https://github.com/aave,https://aave.com/community/events,https://governance.aave.com/,watch,,,,,,,,,Track lending and governance ecosystem
sky,Sky,defi,rwa-tokenization,dao-governance-treasury,project,https://sky.money/,https://docs.sky.money/,https://github.com/makerdao,,https://vote.makerdao.com/,watch,,,,,,,,,Track stable DeFi and governance shift
curve,Curve,defi,payments-stablecoins-settlement,,project,https://curve.fi/,,https://github.com/curvefi,,https://resources.curve.finance/,watch,,,,,,,,,Track stable liquidity infrastructure
dydx,dYdX,defi,protocols,,project,https://dydx.xyz/,https://docs.dydx.xyz/,https://github.com/dydxprotocol,,https://www.dydx.foundation/blog,watch,,,,,,,,,Track derivatives infrastructure
securitize,Securitize,rwa-tokenization,payments-stablecoins-settlement,enterprise-standards-interoperability,company,https://www.securitize.io/,https://docs.securitize.io/,,https://www.securitize.io/events,https://www.securitize.io/press,watch,,,,,,,,,Track tokenization and institutional issuance signals
centrifuge,Centrifuge,rwa-tokenization,defi,,project,https://centrifuge.io/,https://docs.centrifuge.io/,https://github.com/centrifuge,,https://centrifuge.io/blog/,watch,,,,,,,,,Track tokenization rails and ecosystem docs
ondo,Ondo,rwa-tokenization,payments-stablecoins-settlement,,company,https://ondo.finance/,https://docs.ondo.finance/,,https://ondo.finance/,https://ondo.finance/blog,watch,,,,,,,,,Track RWA and treasury products
polymesh,Polymesh,rwa-tokenization,enterprise-standards-interoperability,,project,https://polymesh.network/,https://developers.polymesh.network/,https://github.com/PolymeshAssociation,,https://polymesh.network/blog/,watch,,,,,,,,,Track regulated asset chain infrastructure
aragon,Aragon,dao-governance-treasury,developer-tools,,project,https://aragon.org/,https://docs.aragon.org/,https://github.com/aragon,,https://blog.aragon.org/,watch,,,,,,,,,Track DAO operating system signals
snapshot,Snapshot,dao-governance-treasury,developer-tools,,project,https://snapshot.box/,https://docs.snapshot.box/,https://github.com/snapshot-labs,,https://snapshot.box/#/about,watch,,,,,,,,,Track governance tooling signals
tally,Tally,dao-governance-treasury,protocols,,company,https://www.tally.xyz/,https://docs.tally.xyz/,https://github.com/withtally,,https://www.tally.xyz/resources,watch,,,,,,,,,Track governance and delegation infrastructure
gnosisguild,Gnosis Guild,dao-governance-treasury,developer-tools,,company,https://www.gnosisguild.org/,https://docs.gnosisguild.org/,https://github.com/gnosisguild,,https://www.gnosisguild.org/articles,watch,,,,,,,,,Track DAO contributor tooling
chainalysis,Chainalysis,compliance-risk-forensics,data-infrastructure,education-media-events-research,company,https://www.chainalysis.com/,https://www.chainalysis.com/solutions/,,https://www.chainalysis.com/events/,https://www.chainalysis.com/blog/,ranked,,,,,,,,,Track analytics and compliance market signals
trm,TRM Labs,compliance-risk-forensics,data-infrastructure,,company,https://www.trmlabs.com/,https://www.trmlabs.com/resources,,https://www.trmlabs.com/events,https://www.trmlabs.com/resources,watch,,,,,,,,,Track risk and compliance signals
elliptic,Elliptic,compliance-risk-forensics,data-infrastructure,,company,https://www.elliptic.co/,https://www.elliptic.co/resources,,https://www.elliptic.co/events,https://www.elliptic.co/blog,watch,,,,,,,,,Track forensics and policy-facing signals
merklescience,Merkle Science,compliance-risk-forensics,data-infrastructure,,company,https://www.merklescience.com/,https://www.merklescience.com/resources,,https://www.merklescience.com/events,https://www.merklescience.com/blog,watch,,,,,,,,,Track monitoring and risk signals
